 State , District ,Un-irrigated net sown area as share of total net sown area,,Area under horticulture crops as a share of gross cropped area (%),,Score on water scarcity index (max-1),,Monthly per capita expenditure of rural agricultural households (INR),,Crop revenue per holding (INR),,"No of rural and semi-urban bank branches per 10,000 cultivators",,Medium and long term institutional credit disbursed in a year (in INR Crore),,"Level of farm mechanisation (tractors,harvesters, threshers per ha)",,Proportion of small and marginal cultivators,,Climate Resilient Score by CRIDA,,Summary Text
 Andhra Pradesh , Srikakulam ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,"It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. ",,,,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , Visakhapatnam ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,"The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.",,,,,,,,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , Vizianagaram ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,,,,,,,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Andhra Pradesh , West Godavari ,,"It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. ",,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,"For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. ",,,,,,,,The district has a relatively high proportion of small and marginal farmers.,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","It has a relatively small proportion of its net sown area unirrigated, indicating poor irrigation demand. Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. The district has a relatively high proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , Anjaw ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,,"The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,It has a relatively low proportion of small and marginal farmers.,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. It has a relatively low proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , Changlang ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,"The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.","For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. ",,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,It has a relatively low proportion of small and marginal farmers.,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. It has a relatively low proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , Dibang Valley ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,,"The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,It has a relatively low proportion of small and marginal farmers.,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. It has a relatively low proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , East Kameng ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,,,,"It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. ",,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,It has a relatively low proportion of small and marginal farmers.,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.It has a relatively low penetration of banks in rural and semi-rural areas, impeding  access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. It has a relatively low proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , East Siang ,,,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,"For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. ",,"The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,It has a relatively low proportion of small and marginal farmers.,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. It has a relatively low proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , Kurung Kumey ,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,It has a relatively low proportion of small and marginal farmers.,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. It has a relatively low proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , Lohit ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,"The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.",,,,,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively low for the district, suggesting poor purchasing capacity of the farmers here.The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , Lower Dibang Valley ,"In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.",,,,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,"For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. ",,"The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,It has a relatively low proportion of small and marginal farmers.,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, a relatively large proportion of the net sown area is unirrigated, indicating high irrigation demand.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. It has a relatively low proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , Lower Subansiri ,,,"In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.",,"Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,,,,"For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. ",,,,,,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","In the district, horticulture crops occupy a relatively high proportion of gross cropped area, raising the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.For average crop revenue per holding, it appears among the bottom 25 percentile of districts, implying comparatively lower investment capacity of the farmers here. There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
 Arunanchal Pradesh , Papum Pare ,,,,"Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.","Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.",,"The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.",,"For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. ",,"The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. ",,,"The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.",,"There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. ",,It has a relatively low proportion of small and marginal farmers.,,"The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA.","Horticulture crops occupy a relatively low proportion of gross cropped area in the district, diminishing the economic viability of solar pumps here.Overall, water availability for irrigation in the district (based on ground water development and long-term trends of water level decline) is within the safe limit, enhancing long-term sustainability of solar pumps.The average monthly per capita expenditure of rural agricultural households is relatively high for the district, suggesting higher purchasing capacity of the farmers here.For average crop revenue per holding, the district appears among the top 25 percentile of districts, implying higher investment capacity of the farmers here. The district has a relatively high penetration of banks in rural and semi-rural areas, facilitating higher access to institutional credit for farmers. The number of medium and long-term institutional loans disbursed in the district is comparatively small, suggesting poor availability of credit amongst farmers for potential investments.There is a comparatively low level of farm mechanization, possibly due to low awareness or poor outlook towards progressive technologies amongst the farmers here. It has a relatively low proportion of small and marginal farmers.The district appears in the group of districts, which are only slightly vulnerable towards climate change, as per an index constructed by CRIDA."
